ORGANIZATION,DISCIPLINE,EXP_BUDGET,ANNUAL_AUD,YOUTH,ADDRESS,ADDRESS_2,CITY,ZIP,COUNTY,STATE
Tweed Museum of Art/Regents of the U of M Duluth,Visual Arts & Architecture,"$896,635","2,500","1,200",1201 Ordean Ct,,Duluth,55812-3041,St. Louis,MN
Prairie Fire Lady Choir,Performing Arts,"$7,520",300,50,1202 Adams St NE,PO Box 40386,Saint Paul,55413,Hennepin,MN
Park Rapids Lakes Area Arts Council,Arts Multipurpose,"$15,574","1,435",95,1204 Park Avenue South,PO Box 702,Park Rapids,56470,Hubbard,MN
Caponi Art Park,Arts Multipurpose,"$200,795","1,050",250,1205 Diffley Rd,,Eagan,55123-1415,Dakota,MN
"Jaques Art Center, Inc.",Visual Arts & Architecture,"$1,098","2,000",500,121 2nd St NW,,Aitkin,56431,Aitkin,MN
Five Wings Arts Council,Other,"$172,768",175,,121 4th Street NE,PO Box 118,Staples,56479-2545,Todd,MN
Roseau Area Friends of the Library,Arts Multipurpose,"$2,504","3,600",600,121 Center St E,,Roseau,56751,Roseau,MN
City of RoseauArts Project,Other,"$3,000",280,30,121 Center St E,,Roseau,56751,Roseau,MN
Roseau County Historical Society,History,"$97,148","12,500",,121 Center St. E #101,,Roseau,56751,Roseau ,MN
Lutheran Music Program,Performing Arts,"$935,032",0,0,121 Hennepin Ave,,Minneapolis,55414,Hennepin,MN
Central Lakes Symphony Orchestra,Performing Arts,"$33,500","1,181",227,1210 Broadway St,,Alexandria,56308,Douglas,MN
Worthington Area Symphony Orchestra,Performing Arts,"$34,252",807,562,1210 Elmwood Ave,,Worthington,56187,Nobles,MN
Cannon Falls Community Band,Arts Multipurpose,"$2,000",150,50,12100 Wild Turkey Rd,,Welch,55089,Goodhue,MN
Chisago County Historical Society,History,"$36,069",0,,12112 Third Ave N,PO Box 146,Lindstrom,55045,Chisago,MN
Maritime Heritage MinnesotaHistory Project,History,"$41,406",0,,1214 Saint Paul Avenue,,Saint Paul,55116,Hennepin,MN
Douglas County Historical Society,History,"$146,278",0,,1219 Nokomis St,,Alexandria,56308,Douglas ,MN
Great River Arts Association,Arts Multipurpose,"$290,000","12,090","1,800",122 1st St SE,,Little Falls,56345,Morrison,MN
Heartland Symphony Orchestra,Performing Arts,"$65,386","3,650",500,122 1st St SE,,Little Falls,56345,Morrison,MN
Staples Motley Area Arts Council,Arts Multipurpose,"$22,974",600,200,122 6th St NE,,Staples,56479,Todd,MN
Classical Actors Ensemble,Performing Arts,"$62,747","2,300",500,1221 24th St W,,Minneapolis,55405,Hennepin,MN
African American Center of Minnesota,Arts Multipurpose,"$19,400",110,60,1221 7th Ave N,,Minneapolis,55411,Hennepin,MN
Arts Us,Arts Multipurpose,"$101,436",360,110,1221 Marshall Ave,,Saint Paul,55104,Ramsey,MN
Youth Dance Ensemble and School,Performing Arts,"$121,079",430,230,12237 Wood Lake Dr,,Burnsville,55337,Dakota,MN
American Craft Council,Visual Arts & Architecture,"$5,437,132","170,602","1,361",1224 Marshall St NE,,Minneapolis,55413,Hennepin,MN
Smallest Museum in Saint Paul,Visual Arts & Architecture,"$15,372","2,750",250,1225 Charles Ave,,Saint Paul,55104,Ramsey,MN
Como Zoo Conservatory,Other,"$7,285,914","1,978,364","808,966",1225 Estabrook Dr,,Saint Paul,55103,Ramsey,MN
Dassel Cokato Community Theatre,Performing Arts,"$10,877",300,0,12260 25th St SW,,Cokato,55321,Wright,MN
Itasca County Private Woodland CommitteeArts Project,Other,"$4,200",800,200,123 4th St NE,,Grand Rapids,55744,Itasca,MN
Rock County Historical Society/Center,History,"$67,643","7,200","1,200",123 N FREEMAN AVE,,Luverne,56156,Rock,MN
City of WillmarArts Project,Other,"$75,545",477,75,1234 Kandiyohi Ave SW,,Willmar,56201,Kandiyohi,MN
Willmar Community EducationArts Project,Other,"$34,931","2,050",850,1234 Kandiyohi Ave SW,,Willmar,56201,Kandiyohi,MN
The Third Rail,Visual Arts & Architecture,"$72,312 ",4000,,1237 4th st. NE, ,Minneapolis,55413,Hennepin,MN
Great Northern Theatre Company,Performing Arts,"$99,067","3,559",798,12383 234th Street,PO Box 504,Cold Spring,56320,Stearns,MN
City of Saint JamesArts Project,Other,"$30,000","5,000","1,000",124 Armstrong Blvd S,,Saint James,56081,Watonwan,MN
"Fergus Falls Center for the Arts, Inc.",Arts Multipurpose,"$451,287","15,920","4,700",124 Lincoln Ave W,,Fergus Falls,56537,Otter Tail,MN
Rural AdvantageArts Project,Other,"$3,400",210,10,1243 Lake Ave,,Fairmont,56031,Martin,MN
Ally People SolutionsArts Project,Other,"$10,450","1,300",0,1246 University Ave,,Saint Paul,55104,Ramsey,MN
Healthy Communities Healthy Youth of Brown CountyArts Project,Other,"$6,200",750,250,125 Broadway St S,,New Ulm,56073-3114,Brown,MN
North Beltrami Heritage Center,History,"$4,892",420,70,125 Clark Street,,Kelliher,56650,Beltrami,MN
Film Society of Minneapolis/Saint Paul,Media & Communications,"$1,388,329","83,000","3,000",125 Main St SE,,Minneapolis,55414,Hennepin,MN
Minneapolis Television Network (MTN),Media & Communications,"$608,419",15,14,125 Main Street Southeast,Suite 244,Minneapolis,55414-2143,Hennepin,MN
City of SartellArts Project,Other,"$1,200","3,300",300,125 Pine Cone Rd N,,Sartell,56377,Stearns,MN
Wayzata Symphony Orchestra,Performing Arts,"$78,050","3,750",250,125 Wayzata Boulevard East,PO Box 697,Wayzata,55391,Hennepin,MN
Special School District 1Arts Project,Other,"$14,214",143,138,1250 Broadway Ave W,,Minneapolis,55411,Hennepin,MN
Northwest Company Fur Post/Snake River Fur Post  (MNHS),History,"$234,212","12,846","6,969",12551 Voyageur Lane,,Pine City,55063,Pine,MN
Mill City String Quartet,Performing Arts,"$7,208",750,100,1258 Edmund Ave,,Saint Paul,55104,Ramsey,MN
Bemidji Community Food Shelf Art Project,Visual Arts & Architecture,"$6,302","35,000","11,667",1260 Industrial Park Dr,,Bemidji,56601,Beltrami,MN
Dakota Valley Symphony,Performing Arts,"$60,832",860,60,12600 Nicollet Avenue,PO Box 1241,Burnsville,55337,Dakota,MN
Hoffman Economic Development AuthorityArts Project,Other,"$10,000",700,100,127 Main Ave,,Hoffman,56339,Grant,MN
Madelia Area Chamber of CommerceArts Project,Other,"$18,550","4,000","1,000",127 Main St W,,Madelia,56062,Watonwan,MN
Circus of the Star,Arts Multipurpose,"$2,695,762","49,510","37,130",1270 Montreal Ave,,Saint Paul,55116-2400,Ramsey,MN
Sample Night Live!,Arts Multipurpose,"$25,000",630,30,1271 Hague Ave,,Saint Paul,55104,Ramsey,MN
Northside Elementary SchoolArts Project,Other,"$81,108",433,433,1273 10th Ave N,,Saint James,56081-1921,Watonwan,MN
Teaching Little Fingers How To Play,Performing Arts,$75,23,20,1276 Wilson Ave,,Saint Paul,55106,Ramsey,MN
First Covenant Church of Saint Paul History Project,History,"$6,280",0,,1280 Arcade Street,,Saint Paul,55106,Ramsey,MN
Carpenter St. Croix Valley Nature Center/T and E Carpenter Foundation,Other,"$140,000",0,,12805 St. Croix Trail South,,Hastings,55033,Dakota,MN
Pine County Agricultural Society/County FairArts Project,Other,"$20,780","9,110",680,12840 Brunswick Rd,,Pine City,55063,Pine,MN
Dakota County Historical Society/LeDuc Historic Estate,History,"$331,122","7,750",250,130 3rd Avenue North,,Saint Paul,55075,Ramsey,MN
Pope CountyHistory Project,History,"$10,000",0,,130 East Minnesota Avenue,,Glenwood,56334,Pope,MN
Beltrami County Historical Society,History,"$70,691",0,,130 Minnesota Ave SW,,Bemidji,56601,Beltrami,MN
Duluth Superior Symphony Association,Performing Arts,"$1,531,778","12,500","1,500",130 Superior St W,,Duluth,55802,St. Louis,MN
Minnesota Zoo Foundation,Other,"$24,651,975","1,355,500","71,500",13000 Zoo Blvd,,Apple Valley,55124,Dakota,MN
Phyllis Wheatley Community CenterArts Project,Other,"$14,050",176,175,1301 10th Ave N,,Minneapolis,55411,Hennepin,MN
Arrowhead Regional Arts Council,Other,"$318,362",0,,"1301 Rice Lake Road, Suite 120",,Duluth,55811-2702,Saint Louis,MN
Mower County Historical Society,History,"$163,338",0,,1303 SW Sixth Avenue,,Austin,55912,Mower,MN
Savage Area Arts Community,Arts Multipurpose,"$8,180","1,550",50,13090 Alabama Ave. S,PO Box 142,Savage,55378,Scott,MN
Bois Forte Tribal Community Radio KBFT ,Media & Communications,"$128,900","1,479",634,13090 Westley Drive,,Nett Lake,55772,Saint Louis,MN
Big Time Jazz Orchestra,Performing Arts,"$15,000","1,570",70,131 Winona St E,,Duluth,55803-1809,St. Louis,MN
Mendota Mdewakanton Dakota Tribal Community,Arts Multipurpose,"$17,420","5,150",150,1310 Sibley Memorial Hwy,,Mendota,55150,Dakota,MN
"NorthPoint Health and Wellness Center, Hennepin CountyArts Project",Other,"$10,565","13,500","3,000",1313 Penn Ave N,,Minneapolis,55411,Hennepin,MN
Duluth Film Collective,Media & Communications,$860,20,0,1315 7th St E,,Duluth,55805,St. Louis,MN
Junior Composers,Performing Arts,"$58,100",190,40,13187 Lexington Ave,,Blaine,55449,Anoka,MN
Minnetonka Historical Society/Burwell House/Burwell Festival,History,"$3,602",0,,13209 McGinty Road E,,Minnetonka,55305,Hennepin,MN
Twin Cities Bass Camp,Performing Arts,"$8,800",600,250,1322 Seminary Ave,,Saint Paul,55104,Ramsey,MN
"Singing Slovenes, Inc.",Performing Arts,$340,"3,321","1,321",1325 105th Ave W,,Duluth,55808,St. Louis,MN
City of LindstromArts Project,Other,"$59,500","17,160","7,010",13292 Sylvan Ave,,Lindstrom,55045,Chisago,MN
Alma Folklorica Dance Ensemble,Performing Arts,"$7,646","4,000","1,000",133 N Brown Road,,Long Lake,55356,Hennepin,MN
The Merlin Players,Performing Arts,"$54,780 ",0,,133 Phelps St E,,Owatonna,55060,Steele,MN
Lake Region Arts Council,Other,"$308,643",0,,133 S. Mill St,,Fergus Falls,56537-2574,Otter Tail,MN
Marine Film Society,Media & Communications,"$6,250",760,60,13363 Partridge Rd N,,Stillwater,55082,Washington,MN
Square Lake Film and Music Festival,Media & Communications,"$56,450",510,80,13363 Partridge Rd N,,Stillwater,55082,Washington,MN
Balaton Chamber of Commerce,Performing Arts,"$2,120",123,58,134 3rd St,PO Box 1,Balaton,56115,Lyon,MN
Minnesota Hard Bop Collective,Performing Arts,"$6,018","1,500",0,1344 Mississippi River Blvd S,,Saint Paul,55116,Ramsey,MN
"Matinee Musicale, Inc.",Performing Arts,"$27,805","1,867","1,720",1346 Arrowhead Rd W,,Duluth,55811,St. Louis,MN
Old Wadena Society/Wah De Nah Historic and Environmental Learning Project,History,"$32,706","1,235",250,13491 Old Wadena Circle,PO Box 172,Staples,56479,Todd,MN
City of South Saint PaulArts Project,Other,"$6,250","1,500",500,135 3rd Ave N,,South St Paul,55075,Dakota,MN
City of Bemidji Parks and RecreationArts Project,Other,"$4,991",132,87,1351 5th St NW,,Bemidji,56601,Beltrami,MN
Edge of the Big Woods Art Wander,Visual Arts & Architecture,"$18,669","1,000",200,13525 102nd St,,Cologne,55322,Carver,MN
Sigmas Bookshelf,Literary & Arts,"$4,577",17,15,13540 Knollway Dr N,,Minnetonka,55305,Hennepin,MN
"Greater Litchfield Opera House Association, Inc.",Arts Multipurpose,"$1,974",150,50,136 N Marshall Ave,PO Box 228,Litchfield,55355,Meeker,MN
Minnesota Haitian Cultural Center,Arts Multipurpose,"$48,950","1,100",600,1360 Farrington St,,Saint Paul,55117,Ramsey,MN
Minnesota Veterinary Historical Museum,History,"$25,000",650,50,1365 Gortner Ave,,Saint Paul,55108,Ramsey,MN
Minnesota Scottish Fair and Highland Games,Arts Multipurpose,"$60,355","3,500","1,000",1366 Camelback Dr,,Eagan,55123,Dakota,MN
Lake Superior Community Theatre,Performing Arts,"$23,130","1,750",350,137 Banks Blvd,,Silver Bay,55603,Lake,MN
Jewish Community Center of the Greater Saint Paul AreaArts Project,Other,"$36,218","2,850",850,1375 St Paul Ave,,Saint Paul,55116,Ramsey,MN
Chisago Lakes Community EducationArts Project,Other,"$65,000",485,35,13750 Lake Blvd,,Lindstrom,55045,Chisago,MN
Cultural Society of Filipino Americans,Arts Multipurpose,"$34,500",840,225,1380 Frost Ave,,Maplewood,55109,Ramsey,MN
Swedish Genealogical Society of Minnesota,History,"$10,691",255,0,1385 Mendota Heights Road,,Mendota Heights,55120,Ramsey,MN
The Illicit Sextet,Performing Arts,"$8,339",550,50,1386 Blair Ave,,Saint Paul,55104,Ramsey,MN
Sherburne County JailArts Project,Other,"$16,890",16,0,13880 Business Center Dr,,Elk River,55330-4609,Sherburne,MN
Middle River Community Club,Visual Arts & Architecture,"$1,000",600,100,13887 350th St NE,PO Box 50,Middle River,56737,Marshall,MN
VFW Post 1720Arts Project,Other,"$8,150",705,5,14 3rd St NW,,Grand Rapids,55744,Itasca,MN
Saint Cloud Symphony Orchestra,Performing Arts,"$193,728","8,600","1,800",14 7th Ave N,,Saint Cloud,56302,Stearns,MN
Kimball Community EducationArts Project,Other,"$8,578",131,44,14 Magnus Johnson St S,PO Box 368,Kimball,55353,Stearns,MN
Brown CountyHistory Project Grant,History,"$314,289",0,,14 S State St,PO Box 248,New Ulm,56073,Brown,MN
Cambridge Center for the Arts,Arts Multipurpose,"$39,575 ",0,,140 Buchanan St N.,Suite 178,Cambridge,55008-1642,Isanti,MN
Delano Area Council for Arts and Culture,Arts Multipurpose,"$11,015",550,175,140 Elm Ave,,Delano,55328,Wright,MN
Delano Community EducationArts Project,Other,"$2,250",177,122,140 Elm Ave,,Delano,55328-9118,Wright,MN
Amboy Festival,Arts Multipurpose,"$8,600","1,550",350,140 Main St E,,Amboy,56010,Blue Earth,MN
Public Functionary,Visual Arts & Architecture,"$88,750","1,050",50,1400 12th Ave NE,,Minneapolis,55413,Hennepin,MN
Independent School District #659History Project,History,"$10,000",0,,1400 Division Street South,,Northfield,55057,Rice,MN
Dance Conservatory of Southern Minnesota,Performing Arts,"$202,488","1,675",475,1400 Madison Ave,,Mankato,56001,Blue Earth,MN
Mille Lacs County Agricultural SocietyArts Project,Other,"$22,000","6,000","1,000",1400 N 3rd St,PO Box 595,Princeton,55371,Mille Lacs,MN
Saint Paul Vocal Forum,Performing Arts,"$29,019",260,10,1400 Searle St,,Saint Paul,55130,Ramsey,MN
Denmark Township Historical Society,History,"$104,087",500,0,14008 90th Street S.,,Hastings,55033,Washington,MN
Hispanic Outreach Program of Goodhue County,Arts Multipurpose,"$10,100",460,60,1407 4th St W,,Red Wing,55066,Goodhue,MN
HOPE CoalitionArts Project,Other,"$25,186",65,0,1407 4th St W,,Red Wing,55066,Goodhue,MN
Minnesota Museum of American Art,Visual Arts & Architecture,"$1,173,695","25,520","1,320",141 4th St E,,Saint Paul,55101,Ramsey,MN
Winsted Arts Council,Arts Multipurpose,"$24,809",650,150,141 Main Ave W,PO Box 177,Winsted,55395,McLeod,MN
Benton County Agricultural Society/County Fair,Other,"$10,900","5,000","2,700",1410 3rd Ave S,,Sauk Rapids,56379,Benton,MN
Okuapemman Association of Minnesota,Performing Arts,"$8,820",500,300,1410 Carling Dr,,Saint Paul,55108,Ramsey,MN
Alexandria Public Schools Community EducationArts Project,Other,"$4,375",15,1,1410 McKay Ave S,,Alexandria,56308,Douglas,MN
Native American Community Development Institute,Visual Arts & Architecture,"$71,625","4,000","1,000",1414 Franklin Ave E,,Minneapolis,55404,Hennepin,MN
Minnesota Aviation Hall of Fame,History,"$5,566",0,0,14155 Briarwood Drive,P.O. Box 53,Menahga,56464,"Hennepin, Hubbard, Ramsey",MN
Tonantzin Tlalli Guadalupe,Performing Arts,"$8,480","10,000","5,000",1416 3rd Ave,,Worthington,56187,Nobles,MN
Opportunity NeighborhoodArts Project,Other,"$7,063",50,30,1417 10th St NW Ste 104,,New Brighton,55112,Ramsey,MN
Southwest West Central Service CooperativeArts Project,Other,"$37,000","1,019",745,1420 College Dr E,,Marshall,56258-3805,Lyon,MN
Ka Joog,Arts Multipurpose,"$349,073",600,150,1420 Washington Ave S,,Minneapolis,55454,Hennepin,MN
West Bank Business AssociationArts Project,Other,"$76,000","3,000",500,1420 Washington Ave S,,Minneapolis,55454,Hennepin,MN
Southern Theater Foundation,Performing Arts,"$302,218","9,450",350,1420 Washington Ave S,,Minneapolis,55454-1038,Hennepin,MN
Altered Esthetics,Visual Arts & Architecture,"$6,326",350,0,1420 Washington Ave S,,Minneapolis,55454,Hennepin,MN
Granite City Folk Society,Performing Arts,"$17,305",986,30,1425 23rd St SE,,Saint Cloud,56304,Sherburne,MN
General Federation of Womens ClubsArts Project,Other,"$1,210",450,150,14253 RiverbandTrl,,Thief River Falls,56701,Pennington,MN
Vallee de Croix,Performing Arts,"$5,853","1,200",200,14301 57th St N,,Stillwater,55082,Washington,MN
Rosemount Area Arts Council,Arts Multipurpose,"$50,980","6,000",500,14375 South Robert Trail,PO Box 409,Rosemount,55068,Dakota,MN
River City Theatre Company,Performing Arts,"$14,652",700,200,145 Arnica Dr,,Watertown,55388,Carver,MN
Milaca Area Historical Society,History,"$8,000","1,500",0,145 Central Avenue South,PO Box 144,Milaca,56353,Mille Lacs,MN
Spirit in the House,Visual Arts & Architecture,"$6,362",160,10,145 Engler Blvd,,Chaska,55318,Carver,MN
Bottle Cap Volunteer Productions,Performing Arts,"$1,945",340,85,14502 Canadian Border Rd,,Ely,55731,St. Louis,MN
ArtStart,Visual Arts & Architecture,"$298,664","20,700","20,000",1459 St Clair Ave,,Saint Paul,55105-2338,Ramsey,MN
Albert Lea Community Theatre,Performing Arts,"$97,321","1,060","1,000",147 N Broadway Ave,PO Box 115,Albert Lea,56007,Freeborn,MN
Vox Nova Chorale,Performing Arts,"$7,851",280,30,1480 Myrtle Ct N,,Maplewood,55119-7100,Ramsey,MN
Plymouth Rockers,Performing Arts,"$19,570","2,600",100,14800 34th Ave N,,Plymouth,55447,Hennepin,MN
Washington County 4 H Federation,Performing Arts,"$9,325","2,000","1,000",14949 62nd St N,,Stillwater,55082,Washington,MN
River Valley Band,Performing Arts,"$6,318","1,600",600,1499 Pringle Ct,,Hastings,55033,Dakota,MN
Red Eye Collaboration,Performing Arts,"$217,826","1,550",50,15 14th St W,,Minneapolis,55403-2301,Hennepin,MN
Vail PlaceArts Project,Other,"$27,017",970,70,15 9th Ave S,,Hopkins,55343,Hennepin,MN
City of Faribault Parks and RecreationArts Project,Other,"$10,065","2,600",100,15 Division St W,,Faribault,55021,Rice,MN
City of AdaArts Project,Other,"$2,000",30,5,15 E 4th Ave,,Ada,56510,Norman,MN
Hutchinson Concert Association,Performing Arts,"$1,050",225,25,15 Franklin St SW,,Hutchinson,55350,McLeod,MN
Hutchinson Theatre Company,Performing Arts,"$9,320","1,700",200,15 Franklin St SW,,Hutchinson,55350,McLeod,MN
Hutchinson Photography Club,Visual Arts & Architecture,"$6,863",439,350,15 Franklin St SW,PO Box 667,Hutchinson,55350,McLeod,MN
Crow River Singers,Performing Arts,"$16,115",430,30,15 Franklin Street Southwest,PO Box 667,Hutchinson,55350,McLeod,MN
Hutchinson Center for the Arts,Arts Multipurpose,"$155,655","2,000","1,000",15 Franklin Street SW,PO Box 667,Hutchinson,55350,McLeod,MN
Bemidji State Universit/ MN Northwoods Writers Conference,Literary & Arts,"$73,994",204,4,1500 Birchmont Dr NE,,Bemidji,56601-2699,Beltrami,MN
Bemidji MusiCamp,Performing Arts,"$114,333","1,200",400,1500 Birchmont Dr NE,,Bemidji,56601,Beltrami,MN
Bemidji State University Music Department,Performing Arts,"$10,355",350,200,1500 Birchmont Dr NE,,Bemidji,56601,Beltrami,MN
In the Heart of the Beast Puppet and Mask Theatre,Performing Arts,"$856,071","55,000","5,000",1500 Lake St E,,Minneapolis,55407,Hennepin,MN
New Brighton Area Historical Society,History,"$5,474",0,,1500 Old Highway 8,PO Box 120624,New Brighton,55112,Ramsey,Mn
Minnesota Military Museum,History,"$276,700","13,221","3,000",15000 Highway 115,,Little Falls,56345,Statewide,MN
Mixed Blood Theatre Company,Performing Arts,"$1,298,214","18,700","1,200",1501 4th St S,,Minneapolis,55454-1100,Hennepin,MN
Dakota Center for the Arts/Eagan Art Festival,Arts Multipurpose,"$61,309","10,700",700,1501 Central Parkway,PO Box 211609,Eagan,55121,Dakota,MN
Southwest Minnesota State University,Performing Arts,"$12,946",300,100,1501 State St,,Marshall,56258-3306,Lyon,MN
Society for the Study of Local and Regional HistoryHistory Project,History,"$3,850",0,,1501 State St.,PO Box 291,Marshall,56258,Lyon,MN
